OrganizationId;Name
964964076;KVINESDAL KOMMUNE
964967636;KVINNHERAD KOMMUNE
964963827;KVITESEID KOMMUNE
964979634;KVITSØY KOMMUNE
959469881;LAVANGEN KOMMUNE LOABÁGA SUOHKAN
964949204;LESJA KOMMUNE
964965404;LILLESAND KOMMUNE
959377677;LOM KOMMUNE
963063237;LOPPA KOMMUNE
964966486;LUND KOMMUNE
961381452;LUNNER KOMMUNE
964968241;LUSTER KOMMUNE
964950679;LØTEN KOMMUNE
964944334;MARKER KOMMUNE
970189866;MELØY KOMMUNE
970187715;MIDTRE GAULDAL KOMMUNE
964969302;MODALEN KOMMUNE
970491589;MODUM KOMMUNE
964950202;NANNESTAD KOMMUNE
959469059;NARVIK KOMMUNE
964951640;NESBYEN KOMMUNE
964963371;NOME KOMMUNE
961381908;NORD-AURDAL KOMMUNE
964950768;NORD-ODAL KOMMUNE
964950946;NORE OG UVDAL KOMMUNE
964983003;OPPDAL KOMMUNE
958935420;OSLO KOMMUNE
959411735;PORSANGER KOMMUNE
964977402;RISØR KOMMUNE
964963282;ROLLAG KOMMUNE
964982120;RØYRVIK KOMMUNE
961416388;SALANGEN KOMMUNE
964968985;SAMNANGER KOMMUNE
964965137;SANDNES KOMMUNE
964979367;SAUDA KOMMUNE
964963738;SELJORD KOMMUNE
964962766;SIGDAL KOMMUNE
964964165;SIRDAL KOMMUNE
961381096;SKJÅK KOMMUNE
964982031;SNÅSA KOMMUNE
964965692;SOKNDAL KOMMUNE
964967458;SOLUND KOMMUNE
970169717;STANGE KOMMUNE
964965226;STAVANGER KOMMUNE
962299385;STEIGEN KOMMUNE
964948887;STOR-ELVDAL KOMMUNE
964994129;STORFJORD KOMMUNE
964978751;STRAND KOMMUNE
964980098;STRANDA KOMMUNE
963989202;STRYN KOMMUNE
964980543;SULA KOMMUNE
964979189;SULDAL KOMMUNE
964981604;SUNNDAL KOMMUNE
964980365;SYKKYLVEN KOMMUNE
961381630;SØNDRE LAND KOMMUNE
961381819;SØR-AURDAL KOMMUNE
964947716;SØR-ODAL KOMMUNE
964981515;TINGVOLL KOMMUNE
964964521;TOKKE KOMMUNE
964965781;TVEDESTRAND KOMMUNE
959412340;TYSNES KOMMUNE
964979812;TYSVÆR KOMMUNE
964979456;ULSTEIN KOMMUNE
964979901;UTSIRA KOMMUNE
964993602;VADSØ KOMMUNE
961821967;VAKSDAL KOMMUNE
964966575;VALLE KOMMUNE
961382246;VANG KOMMUNE
964978662;VANYLVEN KOMMUNE
964965048;VEGÅRSHEI KOMMUNE
961382157;VESTRE SLIDRE KOMMUNE
964964610;VINJE KOMMUNE
960510542;VOSS HERAD
964994307;VÆRØY KOMMUNE
959272581;VÅLER KOMMUNE
964949859;ØSTRE TOTEN KOMMUNE
961381185;ØYER KOMMUNE
961382068;ØYSTRE SLIDRE KOMMUNE
964948798;ÅS KOMMUNE
964966842;ÅSERAL KOMMUNE
964948232;ÅSNES KOMMUNE
988913898;AURE KOMMUNE
988893226;VINDAFJORD KOMMUNE
